parms = 1.1,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.852459,1.46724,0.963107,0.963953,0.969371,0.988482
2,0.407047,0.217582,0.18983,0.198212,0.104386,0.118433
3,0.197458,0.0818754,0.0207643,0.0226957,0.00761278,0.0194334
4,0.0981027,0.0188299,0.00479503,0.00326777,0.000933074,0.00104405
,,,,,,
parms = 1.1,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,0.913043,1,1,0.973684
3,0.823529,0.88,1,0.888889,1,0.877551
4,0.823529,0.892857,1,1,1,0.982456
,,,,,,
parms = 1.1,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.852459,1.46724,0.963107,0.963953,0.969371,0.988482
2,0.407047,0.217582,0.207909,0.198212,0.104386,0.121634
3,0.239771,0.0930402,0.0207643,0.0255326,0.00761278,0.022145
4,0.119125,0.0210894,0.00479503,0.00326777,0.000933074,0.00106269
,,,,,,
parms = 1.2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.472561,0.727273,0.949593,0.965775,0.920103,0.967722
2,0.231493,0.273027,0.169493,0.0932427,0.157472,0.125364
3,0.117438,0.0647268,0.0240517,0.0143826,0.00824326,0.00949417
4,0.0602456,0.0128074,0.00579881,0.00278228,0.00080997,0.000771205
,,,,,,
parms = 1.2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,0.882353,0.916667,0.857143,1,0.926829
3,0.85,0.791667,0.764706,0.916667,1,0.98
4,0.782609,0.857143,0.828571,1,0.976744,0.970149
,,,,,,
parms = 1.2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.472561,0.727273,0.949593,0.965775,0.920103,0.967722
2,0.231493,0.309431,0.184901,0.108783,0.157472,0.135262
3,0.138162,0.0817601,0.0314522,0.0156901,0.00824326,0.00968793
4,0.0769805,0.014942,0.00699857,0.00278228,0.000829255,0.000794934
,,,,,,
parms = 1.3,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.488372,0.96679,0.703833,0.9777,0.87113,0.99403
2,0.494786,0.311482,0.299912,0.186706,0.148313,0.119249
3,0.258219,0.0979472,0.0864829,0.037772,0.0152656,0.00949984
4,0.250887,0.0517092,0.0244817,0.00865656,0.00154707,0.00113359
,,,,,,
parms = 1.3,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,0.888889,1,1
3,1,1,0.965517,0.945946,0.956522,1
4,1,1,1,1,0.947368,1
,,,,,,
parms = 1.3,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.488372,0.96679,0.703833,0.9777,0.87113,0.99403
2,0.494786,0.311482,0.299912,0.210044,0.148313,0.119249
3,0.258219,0.0979472,0.0895716,0.0399304,0.0159595,0.00949984
4,0.250887,0.0517092,0.0244817,0.00865656,0.00163302,0.00113359
,,,,,,
parms = 1.4,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.910053,0.922118,0.96347,0.966049,0.97619,0.986207
2,0.556156,0.356292,0.201463,0.160777,0.160914,0.218151
3,0.360715,0.122569,0.0484381,0.0390226,0.0321874,0.029946
4,0.257691,0.042132,0.0181208,0.00812068,0.00711701,0.00821577
,,,,,,
parms = 1.4,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,0.875,0.923077,0.95,1,1,1
3,0.769231,0.894737,0.851852,1,0.897436,1
4,0.866667,0.833333,0.818182,0.893617,1,0.901639
,,,,,,
parms = 1.4,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.910053,0.922118,0.96347,0.966049,0.97619,0.986207
2,0.635606,0.385983,0.212066,0.160777,0.160914,0.218151
3,0.46893,0.136989,0.0568621,0.0390226,0.035866,0.029946
4,0.297335,0.0505584,0.0221477,0.00908742,0.00711701,0.00911204
,,,,,,
parms = 1.5,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.840426,0.938416,0.940054,0.848178,0.607427,0.979323
2,0.445238,0.513384,0.326429,0.375098,0.213489,0.292879
3,0.443407,0.254612,0.101331,0.0704522,0.0426957,0.0521421
4,0.272454,0.118003,0.027903,0.0179879,0.00696728,0.00989001
,,,,,,
parms = 1.5,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,0.964286,1,1
3,1,1,1,0.829268,0.945946,1
4,1,1,0.964286,0.953488,0.933333,0.917808
,,,,,,
parms = 1.5,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.840426,0.938416,0.940054,0.848178,0.607427,0.979323
2,0.445238,0.513384,0.326429,0.38899,0.213489,0.292879
3,0.443407,0.254612,0.101331,0.0849571,0.0451355,0.0521421
4,0.272454,0.118003,0.0289364,0.0188654,0.00746494,0.0107757
,,,,,,
parms = 1.6,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.821782,0.94152,0.964844,0.975375,1.2038,0.921185
2,0.565891,0.597421,0.327581,0.402967,0.413556,0.222478
3,0.453275,0.268979,0.088383,0.110339,0.0866059,0.039482
4,0.466916,0.113111,0.0265491,0.029373,0.0166497,0.00789719
,,,,,,
parms = 1.6,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,0.891892,1,1,1
,,,,,,
parms = 1.6,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.821782,0.94152,0.964844,0.975375,1.2038,0.921185
2,0.565891,0.597421,0.327581,0.402967,0.413556,0.222478
3,0.453275,0.268979,0.088383,0.110339,0.0866059,0.039482
4,0.466916,0.113111,0.0297672,0.029373,0.0166497,0.00789719
,,,,,,
parms = 1.7,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.912821,0.955,0.964222,0.975584,0.580495,0.949219
2,0.969218,0.599846,0.415846,0.505473,0.454171,0.463055
3,0.43719,0.209518,0.0974522,0.114656,0.102835,0.0697531
4,0.489109,0.175167,0.0497938,0.0427865,0.0242972,0.0197346
,,,,,,
parms = 1.7,,,,,,
